GENE_SYMBOL	min_year_pmid	min_year_nct	n_pmids	max_score	n_diseases	support	drugs	nvdas	n_drugs_total	n_drugs_phase4	n_indications	n_indications_phase4
APOC3	1979	2003	1867	1	310	Y	plozasiran	64	3	2	5	2
BTK	1973	2009	2636	1	634	Y	remibrutinib; rilzabrutinib	12	19	5	76	5
CACNA1C	1993	2014	1620	1	442	Y	etripamil	146	31	23	178	23
CD3D	1987	0	134	0.8	128	Y	linvoseltamab	5	13	9	37	9
CHRM1	1994	0	171	0.75	87	N	aceclidine	8	33	26	78	26
CHRM3	1983	2007	387	1	223	N	aceclidine	38	45	34	100	34
CLPP	1993	0	141	0.95	79	N	dordaviprone	8	0	0	0	0
CSF1R	1983	2005	1679	1	734	Y	vimseltinib	22	17	4	108	4
CTSC	1978	2014	582	1	205	N	brensocatib	10	0	0	0	0
DCK	1976	2006	469	0.6	172	Y	doxecitine	16	2	0	96	0
EDNRA	1990	2008	926	1	599	Y	atrasentan	80	13	6	58	6
EGFR	1977	2000	55737	1	2498	Y	sevabertinib; sunvozertinib	251	68	16	118	16
ERBB2	1983	1999	42634	1	1521	Y	sevabertinib; zongertinib	105	42	14	105	14
ESR1	1974	1999	26057	1	1683	Y	imlunestrant	292	35	22	150	22
F12	1973	2010	838	1	268	Y	garadacimab	43	2	2	7	2
FCGRT	1978	2009	114	0.35	84	Y	nipocalimab	3	4	2	20	2
IL5	1977	2002	3105	1	895	Y	depemokimab	37	2	2	16	2
JAK1	1982	2004	1608	0.9	495	N	delgocitinib	44	17	7	128	7
JAK2	1993	2002	9055	1	1083	N	delgocitinib	114	21	8	124	8
JAK3	1976	1999	1227	0.95	430	N	delgocitinib	21	14	5	109	5
KLKB1	1974	2019	351	0.9	175	Y	donidalorsen; sebetralstat	34	6	5	11	5
MAP2K1	1989	2004	3316	1	1015	Y	avutometinib; mirdametinib	44	13	4	75	4
MAP2K2	1993	2012	398	1	465	N	avutometinib; mirdametinib	23	12	4	74	4
MASP2	1985	2016	329	0.65	214	Y	narsoplimab	22	0	0	0	0
MEN1	1980	1999	3305	1	634	Y	ziftomenib	49	1	1	6	1
MET	1976	2004	8566	1	1195	Y	telisotuzumab vedotin	102	31	5	69	5
MYBPC3	1976	2014	4266	1	228	Y	aficamten	98	1	0	2	0
NTRK1	1976	2002	3106	1	803	N	taletrectinib	48	14	5	59	5
NTRK2	1977	2004	1997	0.95	651	N	taletrectinib	72	10	4	28	4
NTRK3	1993	2015	1006	0.8	396	N	taletrectinib	39	10	4	28	4
PAH	1973	2011	3380	1	294	Y	sepiapterin	41	1	1	20	1
PCSK9	1994	2007	2446	1	376	Y	lerodalcibep	90	9	3	26	3
PDCD1	1991	2008	10213	1	1490	Y	pembrolizumab; penpulimab	109	24	6	141	6
PDE4B	1978	2007	671	0.85	307	Y	nerandomilast	73	25	11	154	11
PTK2	1988	2007	3621	0.85	645	Y	defactinib	45	5	0	11	0
PTK2B	1991	2004	581	0.8	256	N	defactinib	30	1	0	2	0
ROS1	1987	2010	1924	1	358	Y	taletrectinib	40	3	3	30	3
SCN10A	1993	2014	613	1	236	Y	suzetrigine	66	45	36	248	36
SERPINC1	1965	2007	2959	1	497	Y	fitusiran	35	12	7	83	7
SSTR2	1992	2010	1580	0.95	499	Y	paltusotine	4	8	4	74	4
TACR1	1991	2016	864	0.75	354	Y	elinzanetant; tradipitant	30	12	5	40	5
TACR3	1989	2016	260	0.95	205	Y	elinzanetant	28	3	1	7	1
TACSTD2	1985	2015	704	1	241	Y	datopotamab deruxtecan	4	1	1	21	1
TK1	1975	2004	1154	0.75	347	Y	doxecitine; doxribtimine	7	4	1	6	1
TK2	1986	0	385	0.8	229	Y	doxecitine; doxribtimine	16	1	0	3	0
TNFRSF17	1988	2009	435	1	164	Y	linvoseltamab	3	5	5	20	5
TNFSF13	1998	2009	421	0.8	219	Y	sibeprenlimab	35	1	0	6	0
TRPM8	2001	2007	333	0.8	137	Y	acoltremon	27	3	1	34	1
TYK2	1997	2020	778	1	276	N	delgocitinib	84	12	5	108	5
